AVI,part,VRS,Part_No,lot,vrs_id,strips,CheckTime(min),OK,NG,ALL,filter rate,visper,AI,size,type,model,Date_Code
20211221,V2-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[1130-B3]_1,229,44.0,0.0,19152.0,19152.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y6]_23,229,38.0,5012.0,3498.0,8510.0,0.59,V1,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-4X-R1,2021/12/21,08VP32908RB,1018.0,[18-G12]_1,38,3.0,1430.0,1305.0,2735.0,0.52,V2,ON,18UM,4X,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y10]_6_P2,152,17.0,0.0,3784.0,3784.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y13]_9_P1,129,15.0,1650.0,1777.0,3427.0,0.48,V3,ON,10UM,NO3,Z1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[1031-G7]_17_P2,150,40.0,1168.0,2417.0,3585.0,0.33,V3,ON,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y8]_25,181,43.0,0.0,7416.0,7416.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[1031-G6]_16_P2,150,37.0,528.0,2788.0,3316.0,0.16,V3,ON,10UM,NO3,Z1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1038.0,[38-Y7]_14,50,11.0,0.0,6295.0,6295.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-G9]_19_P1,151,52.0,0.0,4485.0,4485.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-G5]_15_P2,146,55.0,1041.0,2543.0,3584.0,0.29,V3,ON,10UM,NO3,Z1,
20211221,V1-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[130-G3]_1,229,22.0,0.0,5073.0,5073.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y12]_8_P1,145,19.0,955.0,4675.0,5630.0,0.17,V3,ON,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O2]_10,229,31.0,0.0,9464.0,9464.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y9]_5_P2,134,17.0,1458.0,2417.0,3875.0,0.38,V3,ON,10UM,NO3,Z1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/22,10VPJ5903MA,1031.0,[31-R1]_5_P2,170,35.0,2171.0,3256.0,5427.0,0.4,V4,ON,10UM,NO3,Z1,
20211221,V2-08VP32908RB-2X-R1,2021/12/22,08VP32908RB,1025.0,[1025-2X-R9]_3,52,9.0,498.0,4300.0,4798.0,0.1,V2,ON,18UM,2X,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y2]_19,230,32.0,0.0,9234.0,9234.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R6]_20,230,50.0,0.0,19044.0,19044.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R4]_18,229,56.0,6634.0,8953.0,15587.0,0.43,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G7]_7,187,35.0,8688.0,6423.0,15111.0,0.57,V2,ON,18UM,NO3,R1,
20211221,V1-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[130-G8]_5,140,14.0,3005.0,1115.0,4120.0,0.73,V1,ON,18UM,NO3,R1,
